"Dates","EUNW GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2020-01-02,105.93,4.0245,102.125,55.702,144.195,223.78,181.835,219.53,134.42,27.372,5.254,4.9465,135.84,31.52,77.88,10.568,24.14,1.6908,51.52,4.0575,45.705,29.245,30.99,1.0724,17.92
2020-01-03,105.81,3.9595,102.12,55.532,144.255,224.88,182.85,220.6,134.66,27.233,5.206,4.91,137,31.2,78.05,10.602,24.165,1.7062,51.63,4.115,45.9,29.015,30.335,1.062,17.674
2020-01-06,105.645,3.927,101.755,55.504,144.235,224.77,182.52,220.58,134.66,26.965,5.17,4.8115,133.06,30.755,77.54,10.548,23.845,1.6926,51.17,4.1145,45.625,28.755,29.885,1.0486,17.622
2020-01-07,105.71,3.9255,102.555,55.508,144.255,224.68,183.47,220.2,134.58,27.079,5.205,4.8345,135.02,30.875,77.37,10.588,23.835,1.7028,50.55,4.082,45.23,28.68,30.115,1.0634,17.532
2020-01-08,105.67,3.905,102.995,55.792,144.24,224.43,183.76,219.75,134.445,27.175,5.228,4.8915,135.12,30.92,77.98,10.55,23.695,1.705,50.87,4.1145,45.54,28.835,30.53,1.0456,17.322
2020-01-09,105.9,3.9885,102.78,55.958,144.21,224.05,183.045,219.45,134.32,27.498,5.31,4.975,139.98,31.38,78.4,10.562,23.925,1.7132,50.69,4.1355,45.44,28.845,32.38,1.0572,17.614
2020-01-10,105.9,4.001,103.025,55.998,144.2,224.33,183.78,219.85,134.28,27.609,5.318,4.9955,143.26,31.33,79.49,10.562,23.945,1.707,50.62,4.169,45.435,28.905,32.435,1.0558,17.738
2020-01-13,105.835,4.012,102.675,55.736,144.14,223.53,183.06,219.5,134.09,27.817,5.377,5.018,140.64,31.695,79.97,10.588,23.855,1.7138,50.22,4.14,45.15,28.69,32.67,1.0558,17.942
2020-01-14,105.815,4.0185,102.82,55.87,144.185,223.67,183.605,219.84,134.135,27.76,5.359,5.036,141.2,31.835,80.51,10.482,23.825,1.7016,50.08,4.1365,45.03,28.745,32.82,1.0628,17.954
2020-01-15,105.82,3.9965,102.8,55.688,144.125,223.98,183.55,220.15,134.36,27.613,5.344,5.025,142.2,31.49,79.77,10.484,23.74,1.6806,49.255,4.149,44.51,29.03,32.615,1.0716,17.824
2020-01-16,106.07,4.0405,102.845,54.376,144.115,223.89,183.575,219.75,133.925,27.781,5.355,5.034,141.82,31.55,80.43,10.564,23.88,1.6736,49.48,4.178,44.83,29.125,32.85,1.0758,17.802
2020-01-17,106.14,4.056,103.23,54.516,144.105,224.03,184.04,219.98,133.89,27.96,5.409,5.064,144.5,31.65,80.84,10.646,24.055,1.6888,49.96,4.2515,45.28,29.065,32.955,1.0792,17.774
2020-01-20,106.165,4.0565,103.395,54.6,144.1,224.21,184.465,220.28,134.07,27.955,5.376,5.035,147.76,31.655,80.61,10.616,23.955,1.6552,50.3,4.312,45.67,29.165,33.125,1.0866,17.796
2020-01-21,106.085,4.029,103.105,54.5,144.075,224.64,184.825,220.16,134.28,27.507,5.219,4.9945,148,31.365,80.59,10.552,23.735,1.63,49.965,4.2695,45.27,28.805,33.325,1.093,17.662
2020-01-22,105.98,4.019,103.365,54.612,144.11,224.83,184.98,220.25,134.345,27.65,5.252,4.9825,139.96,31.475,80.38,10.498,23.65,1.6408,50.06,4.309,45.375,28.985,32.99,1.0946,17.526
2020-01-23,105.775,3.9465,103.73,54.72,144.16,225.87,186.62,220.95,134.41,27.249,5.145,4.986,149.12,30.97,80.41,10.444,23.37,1.6512,50.42,4.22,45.35,28.505,32.86,1.0898,17.522
2020-01-24,105.775,3.9805,103.6,54.872,144.15,226.18,187.23,221.05,134.51,27.426,5.165,5.053,138.8,31.33,81.12,10.504,23.37,1.6748,50.59,4.2445,45.455,28.83,32.745,1.0942,17.578
2020-01-27,105.34,3.864,103.31,54.32,144.25,227.57,188.415,222.15,134.65,26.401,4.9145,4.99,134.9,30.055,78.72,10.202,22.61,1.6484,48.67,4.108,43.85,27.595,31.865,1.0704,16.872
2020-01-28,105.465,3.883,104.04,54.394,144.225,227.15,188.24,222.1,134.4,26.66,5.011,5.013,136,30.445,79.65,10.364,22.62,1.6432,49.18,4.185,44.325,27.695,31.925,1.0866,17.038
2020-01-29,105.62,3.886,104.445,54.612,144.255,227.61,188.74,222.8,134.725,26.802,5.027,5.013,139,30.605,79.59,10.374,22.595,1.635,49.325,4.257,44.62,28.07,31.85,1.076,16.942
2020-01-30,105.43,3.907,104.135,54.226,144.305,228.15,189.24,223.05,134.74,26.143,4.8915,4.9185,133.62,29.54,78.16,10.286,22.31,1.6208,47.53,4.2185,43.41,27.755,31.79,1.0682,16.838
2020-01-31,105.3,3.8395,103.79,53.774,144.31,228.73,188.695,223.55,134.89,25.645,4.8145,4.8405,133.24,29.035,74.48,10.03,21.79,1.5522,47.085,4.114,42.84,26.995,31.24,1.0568,16.614
2020-02-03,105.335,3.8435,104.24,54.14,144.31,228.45,188.9,223.22,134.9,25.992,4.914,4.801,131.82,29.455,75.46,10.018,21.985,1.5652,48.255,4.18,43.765,27.12,31.15,1.052,16.71
2020-02-04,105.745,3.876,104.175,54.636,144.295,228.18,188.52,223.1,134.94,26.855,5.127,4.9435,135.66,30.555,76.69,10.172,22.625,1.606,48.84,4.2595,44.485,28.22,32.34,1.0668,17.144
2020-02-05,105.895,3.864,104.735,54.828,144.23,227.56,188.59,223.07,134.815,26.982,5.136,4.988,136.96,30.73,77.84,10.208,22.725,1.6418,49.125,4.294,44.815,28.4,32.295,1.0718,17.368
2020-02-06,105.985,3.837,105.105,54.804,144.23,227.53,188.61,222.85,134.71,27.142,5.185,5.04,139.56,30.875,78.11,10.28,22.65,1.6606,48.975,4.238,44.515,28.365,32.26,1.0672,17.228
2020-02-07,105.945,3.813,105.43,54.53,144.26,227.83,190.03,222.8,134.825,26.818,5.134,5.009,137.82,30.415,77.05,10.184,22.495,1.6574,47.88,4.2035,43.725,27.865,31.72,1.0568,17.136
2020-02-10,105.885,3.8035,105.89,54.68,144.24,228.23,191.2,222.92,135.055,26.936,5.171,5.032,138.42,30.71,77.52,10.212,22.6,1.665,47.555,4.188,43.465,27.985,31.365,1.045,17.052
2020-02-11,106.185,3.792,105.995,54.884,144.265,227.98,190.75,222.3,134.94,27.312,5.279,5.076,140.74,31.135,77.78,10.344,22.505,1.6742,48.28,4.2915,44.14,28.375,31.73,1.0704,17.202
2020-02-12,106.15,3.8045,106.07,55.122,144.26,228.08,190.55,222.65,134.815,27.669,5.356,5.107,140.72,31.625,77.71,10.324,22.95,1.6736,48.385,4.379,44.48,28.93,31.74,1.0706,17.412
2020-02-13,106.22,3.7665,106.185,55.248,144.285,228.23,191.43,223.05,134.9,27.583,5.338,5.115,142.48,31.62,76.83,10.236,22.755,1.6574,48.76,4.324,44.48,28.845,31.815,1.077,17.31
2020-02-14,106.345,3.779,106.62,55.386,144.275,228.28,192.07,223.14,135,27.572,5.337,5.078,142.84,31.52,76.83,10.314,22.58,1.649,48.46,4.352,44.415,29.09,31.565,1.0748,17.246
2020-02-17,106.455,3.7785,106.885,55.376,144.27,228.37,192.205,223.25,135.055,27.745,5.397,5.077,143,31.46,77.18,10.316,22.79,1.654,48.815,4.3565,44.585,29.125,31.875,1.0718,17.288
2020-02-18,106.3,3.779,107.02,55.3,144.25,228.36,193.14,222.95,135.09,27.38,5.328,5.049,139.92,31.01,77.34,10.29,22.505,1.6524,47.85,4.3625,43.985,28.81,31.68,1.0566,17.118
