"Dates","MSDEEEMN.Index","MXCN.Index","MXIN.Index","MXKR.Index","MXTW000V.Index","MXID.Index","MXMY.Index","MXTH.Index","MXPH.Index","MXBR.Index","MXMX.Index","MXCL.Index","MXCO.Index","MXPE.Index","MXZA.Index","MXTR.Index","MXGR.Index","MXEG.Index","MXHU.Index","MXCZ.Index","MXPL.Index","MXSA.Index","MXAE.Index","MXQA.Index","MXKW.Index","JPEICORE.Index","GBIE1001.Index","BCEX6T.Index","BCEX4T.Index","IDCOT7.Index","BEIG1T.Index","LECPTREU.Index","IBOXXMJA.Index"
2020-01-01,NA,742.5906,NA,135.37,178.43,296.627,NA,225.556,NA,NA,2116.11379,4243.02657,1159.35438,616.8896,NA,NA,NA,NA,NA,NA,NA,NA,243.34945,81.3105,837.7791,441.236,9.80654,17.1368,NA,109.0938,NA,NA,NA
2020-01-02,203.9708,742.5906,544.976,135.98,178.392,297.367,NA,225.9318,259.5942,23.19142,2174.31513,4353.01701,1198.0752,624.70904,1534.05551,87.65991,228283.37616,4.82,177.85675,6.69172,9.13301,364.15102,245.47751,82.07196,841.1361,447.509,10.08225,17.34123,0.5282,109.3465,0.46895,120.51941,16.81231
2020-01-03,204.0506,742.5906,544.806,135.54,178.451,298.764,NA,227.0751,260.1351,23.35931,2152.47046,4380.79126,1202.47046,630.74651,1514.83172,87.02569,223949.43148,4.75,NA,6.66305,9.12459,360.08854,245.40086,82.05503,841.1361,447.308,10.02759,17.20688,0.52584,109.6999,0.47232,120.82035,16.78863
2020-01-05,NA,714.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.36841,NA,825.2877,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,203.948,716.9648,543.407,135.35,178.444,298.817,NA,227.1486,260.1653,23.21434,2128.69138,4369.97767,1186.95846,631.34435,1504.46628,86.01142,219835.23326,NA,172.31461,6.41234,9.13028,NA,239.61918,79.88719,834.1176,441.842,9.94934,16.81113,0.52,108.5634,0.46615,119.56439,16.50061
2020-01-07,204.0184,727.6127,546.696,135.47,178.421,298.521,NA,226.6096,260.0326,23.51647,2114.68186,4334.16495,1202.30638,626.75222,1478.97335,86.06542,222634.25869,4.75,NA,6.3648,9.1046,356.00556,240.39253,81.41567,833.258,445.067,10.06151,16.96817,0.52784,108.0674,0.47083,121.33213,16.67254
2020-01-08,203.8955,726.2267,548.373,136.09,178.401,298.135,NA,226.2539,259.6815,23.38557,2118.25868,4394.06368,1213.96834,626.53355,1480.653,87.0057,227173.98232,4.66,177.94668,6.45635,9.07451,351.73789,238.74136,81.04287,830.5556,444.182,10.02555,17.10633,0.52962,107.1387,0.46969,119.76191,16.42296
2020-01-09,204.0539,737.6423,548.89,136.49,178.375,297.53,NA,225.9755,259.2239,23.54401,2111.6344,4407.52814,1205.56506,623.84511,1494.47096,86.36777,239361.01995,4.73,179.83906,6.51049,9.11098,357.68606,245.35655,82.25037,838.4471,452.083,10.22347,17.44326,0.5407,108.0695,0.47563,120.66703,16.68731
2020-01-10,204.2207,737.6423,548.656,136.75,178.376,297.956,NA,226.502,259.3695,23.47461,2103.62345,4423.19727,1226.48804,619.67272,1484.10358,86.43104,239817.4329,4.71,NA,6.44564,9.12303,360.3043,244.98152,82.12241,838.4471,453.34,10.2462,17.52248,0.54549,108.3965,0.47841,120.6155,16.66638
2020-01-12,NA,737.6423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.73842,NA,840.0111,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-13,204.3607,737.6423,547.854,135.98,178.32,296.903,NA,225.882,259.0301,NA,2096.31059,4420.1526,1205.5386,617.8456,1486.75943,85.51134,241748.801,4.67,178.99497,6.44573,9.16922,364.40223,246.52201,82.62272,847.163,456.645,10.38949,17.6585,0.55178,109.3714,0.48412,120.32813,16.66605
2020-01-14,204.3848,751.8273,548.342,136.24,178.317,297.164,NA,226.3231,259.1563,23.46465,2100.46716,4416.04528,1203.49474,618.96505,1490.26143,86.5393,243063.21691,4.66,180.90594,6.40456,9.21764,364.50736,247.56663,83.87094,851.9998,457.106,10.32962,17.71678,0.5547,109.6967,0.48778,119.81426,16.62729
