Dates,MSDEEEMN Index,MXCN Index,MXIN Index,MXKR Index,MXTW000V Index,MXID Index,MXMY Index,MXTH Index,MXPH Index,MXBR Index,MXMX Index,MXCL Index,MXCO Index,MXPE Index,MXZA Index,MXTR Index,MXGR Index,MXEG Index,MXHU Index,MXCZ Index,MXPL Index,MXSA Index,MXAE Index,MXQA Index,MXKW Index
2000-12-29,100,3.11203,3.95456,0.10569,69.73896,0.05021,68.66987,2.51403,7.50553,812.33656,1559.18999,643.65982,44.83874,133.05556,34.40382,260055.7659,106.1,42.37656,2.19734,3.07037,336.86451,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-01,99.902,3.11203,3.93701,0.10591,70.40357,0.04982,68.66987,2.49647,7.50553,812.33656,1559.18999,643.65982,44.83874,133.05556,34.40382,258853.0614,106.1,42.9955,2.19734,3.08148,336.05132,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-02,99.109,3.05941,3.96631,0.10865,73.23104,0.04998,66.6593,2.47511,7.22444,804.36694,1513.83746,638.96734,44.78475,134.26633,33.70233,259451.3471,106.1,42.72357,2.12548,3.04189,336.81376,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-03,99.93,2.97615,3.99948,0.10938,72.93961,0.0483,65.62164,2.50651,7.15231,855.25661,1574.14709,645.0055,44.05949,134.41026,33.33524,251586.9836,105.42,41.88365,2.08474,2.96319,335.26655,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-04,103.553,3.11351,4.06313,0.11786,75.65356,0.04989,66.13556,2.58941,7.2495,856.83149,1648.00253,649.85618,43.5676,133.69801,34.37493,283193.0493,103.85,42.1412,2.20002,3.08634,337.70654,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-05,103.178,3.12396,4.12211,0.12318,77.01993,0.05159,66.5029,2.69634,7.16687,835.23045,1590.25687,648.03103,43.26,132.78318,34.24668,277316.715,100.85,41.87169,2.21312,3.14306,329.90708,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-08,103.249,3.22455,4.06083,0.12476,75.70186,0.05188,67.39769,2.876,7.38933,839.13495,1614.36268,647.84481,43.44363,134.58882,34.08217,291578.4525,98.87,41.24165,2.23731,3.15523,322.27789,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-09,105.387,3.26729,4.10232,0.12675,77.85228,0.05213,67.77233,2.96396,7.59688,869.705,1614.04906,651.39068,44.11341,134.54773,33.65151,302058.5961,97.47,42.17381,2.2517,3.216,324.92318,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-10,104.649,3.31553,4.0383,0.11946,78.342,0.0526,68.50005,2.89517,7.57956,863.6916,1572.25433,654.03389,44.44354,134.7836,33.19997,321330.5545,97.57,41.35678,2.20763,3.14108,318.98178,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-11,103.881,3.16577,3.93847,0.11697,77.59312,0.05051,67.06873,2.87223,7.37365,854.99927,1580.67016,650.83975,43.74466,134.49449,33.5014,309479.9645,104.23,41.87528,2.18722,3.08169,313.58804,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-12,104.888,3.25377,3.9655,0.12295,76.79565,0.05033,67.54,3.1117,7.47353,854.98695,1590.43039,654.67831,44.09,133.93139,34.02281,302972.4624,104.23,42.01629,2.26862,3.13116,320.0509,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-15,106.09,3.36477,4.00614,0.12471,78.14732,0.05237,68.45282,3.14906,7.6024,868.53969,1605.20484,661.01847,44.4768,135.1003,34.7034,289454.7184,99.93,41.96765,2.28902,3.2347,319.68364,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2001-01-16,106.708,3.38771,4.03518,0.12728,81.96381,0.0528,68.38006,3.06197,7.44745,864.46882,1602.76394,665.71946,44.84506,136.01777,34.48219,290866.2037,98.93,42.1781,2.2969,3.18314,318.82788,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
